ID,Genus,Species,Strain,Sampling.site,Sampling.date,Analysis.date,Polarity,Medium,Strain.available
ID00069,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,True
ID00070,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,True
ID00071,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,True
ID00072,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,True
ID00073,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,True
ID00074,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,True
ID00075,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,True
ID00076,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,True
ID00077,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,True
ID00078,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,16.05.2018,positive,f/2,True
ID00079,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,True
ID00080,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,True
ID00081,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,True
ID00082,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,True
ID00083,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,True
ID00084,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,True
ID00085,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,positive,f/2,True
ID00440,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00441,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00442,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00443,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00444,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00445,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00446,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00447,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00448,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00449,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00450,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00451,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00452,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00453,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00454,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00455,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,positive,f/2,True
ID00004,Coscinodiscus ,wailesii,CW_Helg2016,Helgoland,8.2016,10.07.2018,positive,f/2,True
