ID,Genus,Species,Strain,Sampling.site,Sampling.date,Analysis.date,Polarity,Medium,Strain.available
ID00086,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,negative,f/2,TRUE
ID00087,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,negative,f/2,TRUE
ID00088,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,negative,f/2,TRUE
ID00089,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,negative,f/2,TRUE
ID00090,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,negative,f/2,TRUE
ID00091,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,negative,f/2,TRUE
ID00092,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,negative,f/2,TRUE
ID00093,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,negative,f/2,TRUE
ID00094,Chaetoceros,didymus,Na20B4,Italy Gulf of Naples,7.2014,05.07.2018,negative,f/2,TRUE
ID00566,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00567,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00568,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00569,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00570,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00571,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00572,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00573,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00574,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00575,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00576,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00577,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00578,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00579,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00580,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00581,Chaetoceros,diadema,RCC1717,English channel,5.2008,11.03.2019,negative,f/2,TRUE
ID00011,Coscinodiscus ,wailesii,CW_Helg2016,Helgoland,8.2016,10.07.2018,negative,f/2,TRUE
